,Title,Interventions,Phases
377,intergroup randomized trial children adolescents b cell non hodgkin lymphoma b acute leukemia  rituximab evaluation high risk pati,drug  vincristine  cyclophosphamide  methotrexate  doxorubicin  cytarabine  ara c drug  rituximab  vincristine  cyclophosphamide  methotrexate  doxorubicin  cytarabine  ara c,phase 3
378,r ice lenalidomide treating patients first relapse primary refractory diffuse large b cell lymphoma,drug  carboplatin drug  etoposide drug  ifosfamide laboratory biomarker analysis drug  lenalidomide biological  rituximab,phase 1 phase 2
379,multiple fields radiotherapy versus intravenous rituximab treatment indolent cutaneous lymphomas b cell multiple recurrent l,drug  rituximab radiation  multi fields radiotherapi,phase 3
380,addition temozolomide conditioning autologous transplantation relapsed   refractory cns lymphoma,drug  temozolomid,phase 2
381,open label  multicenter  two part  phase 1 study characterize effects moderate cyp3a inhibitor pk tazemetostat  effects tazemetostat pk cyp2c8 cyp2c19 substrates  effect increased gastric ph pk tazemetostat b cell lymphoma advanced solid tumor pati,drug  tazemetostat drug  fluconazole drug  omeprazole drug  repaglinid,phase 1
382,r chop versus r mini ceop elderly patients  65 dlbcl,drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednisone drug  epirubicin drug  vinblastine drug  rituximab drug  g csf,phase 3
383,impact rituximab patients primary breast diffuse large b cell lymphoma  dlbcl ,nan,nan
384,thalidomide combined r chop newly diagnosed，untreated double expressor diffuse large b cell lymphoma pati,drug  thalidomide combined r chop drug  r chop,phase 3
385,diffuse large b cell lymphoma adult  randomization high dose chemotherapy rituximab chop 14 rituximab,drug  chop rituximab drug  ceep rituximab,applicable
386,rituximab   gm csf patients follicular b cell lymphoma,drug  rituximab drug  gm csf,phase 2
387,pre phase treatment r chop chemotherapy elderly patients newly diagnosed dlbcl,drug  prednisolone 50 mg,phase 2
388,r da edoch versus r ceop90  w upfront auto hsct young patients intermediate high risk dlbcl,drug  r da epoch drug  r da epoch   auto hsct drug  r ceop90 drug  r ceop90   auto hsct,phase 3
389,ibrutinib post stem cell transplantation  sct  double hit b cell lymphoma,drug  ibrutinib,phase 2
390,bendamustine combination ofatumumab  carboplatin etoposide refractory relapsed aggressive b cell lymphoma,drug  bendamustine drug  ofatumumab drug  carboplatin drug  etoposide procedure  ct scan procedure  pet scan genetic  stem cell transplant  stc ,phase 1 phase 2
391,rituximab augmentation following r chop induction chemotherapy extremely elderly patients diffuse large b cell lymphoma,drug  rituximab,phase 2
392,open label  multicenter  phase 1 2 study tazemetostat  ezh2 histone methyl transferase  hmt  inhibitor  single agent subjects adv  solid tumors b cell lymphomas tazemetostat combination prednisolone subjects dlbcl,drug  tazemetostat,phase 1 phase 2
393,gen3013  duobody® cd3xcd20  safety trial patients relapsed  progressive refractory b cell lymphoma,biological  gen3013  duobody® cd3xcd20 ,phase 1 phase 2
394,safety efficacy mak683 adult patients advanced malign,drug  mak683,phase 1 phase 2
395,treatment relapsed low grade follicular lymphoma rituximab  also known rituxan  idec c2b8  idec 102 ,drug  rituximab,phase 3
396,phase ii prospective trial addition rituximab reduced dose chop chemotherapy dlbc l patients aged 65 years ,drug  rituximab  cyclophosphamide  doxorubicin  vincristine  prednison,phase 2
397,dose study doxil dose dense  14 day cdop rituximab regimen patients diffuse large b cell non hodgkin lymphoma  nhl   60 years compromised cardiac status ,drug  doxil drug  cyclophosphamide drug  vincristine drug  prednisone drug  rituximab drug  pegfilgrastim,phase 2
398,study comparing efficiency safety chop cyclophosphamide  hydroxydaunomycin  oncovin  prednisone  versus r chop untreated cd20 cluster differentiation antigen 20  positive dlbcl pati,drug  sct400 plus chop drug  rituximab plus chop,phase 3
399,bendamustine rituximab treatment splenic marginal zone lymphoma,drug  bendamustine rituximab,phase 2
400,chidamide combined r gdp treating patients relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  chidamide combined r gdp,phase 2
401,clinical research anti cd20 car cells patients refractory relapsed b lymphocyte lymphoma,drug  cd20 car cel,phase 1
402,ebv associated diffuse large b cell lymphoma,clinical pathological data ebv related gzl dlbcl,nan
403,bortezomib plus chop every 2 weeks advanced stage dlbcl,drug  bortezomib drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednisolone drug  lenograstim,phase 1 phase 2
404,evaluation car19 cells optimal bridge allogeneic transpl,procedure  leukapheresis drug  cyclophosphamide drug  fludarabine biological  car19 cel,phase 1
405,open label extension study de immunized di leu16 il2 immunocytokine administered patients b cell nhl,drug  di leu16 il2,phase 1 phase 2
406,pembrolizumab combination chemotherapy treating patients previously untreated diffuse large b cell lymphoma grade 3b follicular lymphoma,drug  cyclophosphamide drug  doxorubicin hydrochloride laboratory biomarker analysis biological  pembrolizumab drug  prednisone biological  rituximab drug  vincristine sulf,phase 1
407,metronomic chemotherapy elderly non fit patients aggressive b cell lymphoma,drug  prednisone drug  vinorelbine drug  etoposide drug  cyclophosphamide drug  rituximab,phase 2
408,avelumab  utomilumab  rituximab  ibrutinib  combination chemotherapy treating patients relapsed refractory diffuse large b cell lymphoma mantle cell lymphoma,procedure  autologous hematopoietic stem cell transplantation drug  avelumab drug  carboplatin drug  etoposide phosphate drug  ibrutinib drug  ifosfamide laboratory biomarker analysis biological  rituximab biological  utomilumab,phase 1
409,phase ii study de immunized di leu16 il2 immunocytokine administered subcutaneously patients b cell nhl,drug  0 5 mg m2 di leu16 il2 drug  1 0 mg m2 di leu16 il2 drug  2 0 mg m2 di leu16 il2 drug  4 0 mg m2 di leu16 il2 drug  6 0 mg m2 di leu16 il2 drug  8 0 mg m2 di leu16 il2 drug  10 0 mg m2 di leu16 il2 drug  50mg m2 rituximab,phase 1 phase 2
410,tailored prednisone reduction preventing hyperglycemia participants b cell non hodgkin lymphoma receiving combination chemotherapy treat,drug  cyclophosphamide drug  doxorubicin hydrochloride laboratory biomarker analysis drug  prednisone quality life assessment questionnaire administration biological  rituximab drug  vincristine sulf,phase 2
411,phase study evaluate safety  tolerability adults lymphoma,drug  medi 538,phase 1
412,geriatric assessments elderly diffuse large b cell lymphoma patients 2  geriad2 ,nan,nan
413,geriatric assessments elderly diffuse large b cell lymphoma,nan,nan
414,interventional study pentostatin  cyclophosphamide rituximab indolent b cell non hodgkin lymphoma  b nhl ,drug  cyclophosphamide  pentostatin  rituximab,phase 2
415,vaccine therapy treating patients recurrent b cell lymphoma,biological  plasmid dna vaccine therapy flow cytometry immunoenzyme techniqu,phase 1
416,study evaluate safety efficacy blinatumomab subjects relapsed refractory  r r  aggressive b cell nhl,drug  blinatumomab drug  investigator choice chemotherapi,phase 2 phase 3
417,cd19 targeted chimeric antigen receptor cells b cell lymphoma,biological  cd19 targeted chimeric antigen receptor cel,phase 1 phase 2
418,nivolumab without varlilumab treating patients relapsed refractory aggressive b cell lymphoma,laboratory biomarker analysis biological  nivolumab pharmacological study drug  varlilumab,phase 2
419,bi 1206 anti cd20 antibody patients cd32b positive b cell lymphoma leukaemia,biological  bi 1206 single agent dose escalation phase biological  bi 1206 single agent expansion phase biological  combination bi 1206 rituximab,phase 1 phase 2
420,study evaluation efficacy safety sh l 749 indolent b cell non hodgkin lymphoma,drug  zevalin  sh l 749   bay86 5128 ,phase 2
421,90y ibritumomab tiuxetan consolidation 6th r chop chemotherapy patients bulky diffuse large b cell lymphoma,drug  ibritumomab tiuxetan  zevalin ,phase 2
422,ultra low dose 4 gy orbital radiation definitive therapy indolent b cell lymphoma,radiation  radiation therapi,phase 2
423,pembrolizumab vorinostat treating patients relapsed refractory diffuse large b cell lymphoma  follicular lymphoma  hodgkin lymphoma,laboratory biomarker analysis biological  pembrolizumab drug  vorinostat,phase 1
424,b001 patients cd20 positive b cell non hodgkin lymphoma,biological  b001,phase 1
425,ofatumumab older patients untreated low intermediate risk indolent b cell lymphoma,drug  ofatumumab,phase 2
426,study actr707 combination rituximab subjects relapsed refractory b cell lymphoma,biological  actr707 biological  rituximab,phase 1
427,study actr087 subjects relapsed refractory b cell lymphoma,biological  actr087 biological  rituximab,phase 1
428,car cd19 cd28 zeta 2a icasp9 il15 transduced cord blood nk cells  high dose chemotherapy  stem cell transplant treating participants b cell lymphoma,procedure  autologous hematopoietic stem cell transplantation drug  carmustine drug  cytarabine drug  etoposide biological  filgrastim drug  melphalan biological  rituximab biological  umbilical cord blood derived natural killer cel,phase 1 phase 2
429,lenalidomide combination chemotherapy  da epoch r  treating patients myc associated b cell lymphoma,drug  lenalidomide drug  etoposide drug  prednisone drug  vincristine sulfate drug  doxorubicin hydrochloride drug  cyclophosphamide biological  rituximab quality life assessment laboratory biomarker analysi,phase 1 phase 2
430,eradication helicobacter pylori management stage ie   iie 1 primary low grade b cell lymphoma maltoma,omeprazole  amoxicillin  clarithromycin,applicable
431,novel combination therapy treatment relapsed refractory aggressive b cell lymphoma,drug  ibrutinib drug  rituximab drug  gemcitabine drug  dexamethasone drug  cisplatin drug  mesna drug  cyclophosphamide drug  etoposide drug  g csf,phase 2
432,study itacitinib  incb039110  combination ibrutinib subjects relapsed refractory diffuse large b cell lymphoma,drug  itacitinib drug  ibrutinib,phase 1 phase 2
433,rituximab  bendamustine melphalan chemo immunotherapy followed reinfusion one stem cell treatment b cell lymphoma elderly pati,drug  rituximab drug  bendamustine drug  melphalan procedure  autologous stem cell transplantation  asct ,phase 1 phase 2
434,phase ii study lenalidomide obinutuzumab chop diffuse large b cell lymphoma,drug  lenalidomide drug  obinutuzumab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednison,phase 1 phase 2
435,targeted intensification zbeam autologous stem cell transplantation patients high grade b cell lymphoma,drug  zbeam  zevalin  bcnu  etoposide  aracytine  melphalan  procedure  asct drug  rituximab,phase 2
436,efficacy safety study lenalidomide plus r chop chemotherapy versus placebo plus r chop chemotherapy untreated abc type diffuse large b cell lymphoma,drug  lenalidomide drug  placebo drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  prednisone drug  vincristin,phase 3
437,high dose chemotherapy asct consolidating conventional chemotherapy primary cns lymphoma,drug  arm fortecortin® etopophos® ifo cell® carbo cell®  drug  arm b  tepadina® carmubris® busilvex® ,phase 3
438,phase 2 safety efficacy study incb050465 subjects relapsed refractory diffuse large b cell lymphoma  citadel 202 ,drug  incb050465,phase 2
439,safety study sgn cd19b patients b cell non hodgkin lymphoma,drug  sgn cd19b,phase 1
440,r dose adjusted  da    epoch 21 versus r modified non hodgkin lymphoma  nhl  berlin frankfurt munster  bfm  90 program  mnhl bfm 90  autologous stem cells transplantation  auto sct  dlbcl poor prognosi,drug  r da epoch 21 drug  r da epoch 21   auto sct drug  r mnhl bfm 90 drug  r mnhl bfm 90   auto sct,phase 3
441,rituximab maintenance therapy marginal zone b cell lymphoma  mzl ,drug  rituximab,phase 2
442,phase ii study cd30 positive diffuse large b cell lymphoma patients refractory first line chemotherapy first relap,combination product  r dhap drug  brentuximab vedotin,phase 1 phase 2
443,study radiolabeled monoclonal antibody anti b1 treatment b cell lymphomas extended study determine safety efficacy coulter clone® 131iodine b1 radioimmunotherapy advanced non hodgkin lymphoma,biological  radiolabeled monoclonal antibody anti b1 treatment b cell lymphomas  tositumomab iodine 131 tositumomab ,phase 1
444,safety tolerability study pci 32765 b cell lymphoma chronic lymphocytic leukemia,drug  pci 32765,phase 2
445,study durvalumab combination r chop lenalidomide plus r chop previously untreated high risk diffuse large b cell lymphoma,drug  durvalumab drug  rituximab drug  doxorubicin drug  vincristine drug  cyclophosphamide drug  prednisone drug  lenalidomid,phase 2
446,early therapy pet first line treatment diffuse large b cell lymphoma stage iib iv,procedure  pet scan,nan
447,combination chemotherapy without autologous stem cell transplant treating patients central nervous system b cell lymphoma,drug  carmustine drug  cytarabine drug  etoposide drug  thiotepa procedure  stem cell transplant drug  g csf,phase 2
448,phase ii palbociclib  ibrutinib mantle cell lymphoma,drug  palbociclib drug  ibrutinib,phase 2
449,combination chemotherapy rituximab treating patients primary mediastinal diffuse large b cell lymphoma,biological  bleomycin sulfate biological  filgrastim biological  rituximab drug  cyclophosphamide drug  cytarabine drug  doxorubicin hydrochloride drug  etoposide phosphate drug  ifosfamide drug  methotrexate drug  prednisolone drug  prednisone drug  vincristine sulfate drug  vindesin,applicable
450,open label  multi center  two part  ph1 study characterize pks intravenous micro dose 14c  tazemetostat  epz 6438  adme oral  14c  labeled dose tazemetostat subjects b cell lymphomas adv solid tumor,drug  tazemetostat 14c  tazemetostat,phase 1
451,study patients primary breast diffuse large b cell lymphoma,drug  rituximab procedure  prophylactic intrathecal chemotherapi,phase 2
452,smart start  study rituximab  lenalidomide  ibrutinib combined chemotherapy patients high risk diffuse large b cell lymphoma,drug  rituximab drug  ibrutinib drug  lenalidomide drug  etoposide drug  prednisone drug  vincristine drug  cyclophosphamide drug  doxorubicin,phase 2
453,phase ii trial vr chop lymphoma pati,drug  bortezomib biological  rituximab drug  doxorubicin drug  cyclophosphamide drug  vincristine drug  prednison,phase 1 phase 2
454,btk inhibitor b cell malign,drug  m7583,phase 1 phase 2
455,combination oral fludarabine  mitoxantrone und rituximab induction therapy rituximab maintenance therapy follicular b cell lymphoma,drug  rituximab,phase 2
456,rituximab combination chemotherapy without bleomycin sulfate treating patients primary mediastinal large b cell lymphoma,biological  bleomycin sulfate biological  rituximab drug  epoch regimen drug  cyclophosphamide drug  doxorubicin hydrochloride drug  etoposide drug  prednisone drug  vincristine sulf,phase 2
457,efficacy safety study fostamatinib tablets treat b cell lymphoma,drug  fostamatinib,phase 1 phase 2
458,lenalidomide combined vorinostat gemcitabine busulfan melphalan autologous stem cell transplantation diffuse large b cell lymphoma abc subtyp,drug  lenalidomide drug  vorinostat drug  gemcitabine drug  busulfan drug  melphalan drug  rituximab drug  dexamethasone drug  caphosol drug  glutamine drug  pyridoxine drug  enoxaparin procedure  stem cell transplant drug  palifermin,phase 1 phase 2
459,phase ib study belinostat rdhap chemotherapy  dexamethasone  cytarabine  cisplatinum  adults relapsed refractory diffuse large b cell lymphoma,drug  belinostat drug  rituximab drug  cisplatin drug  cytarabine drug  dexamethasone drug  ciprofloxacin drug  fluconazol,phase 1
460,treatment degenerative neoplastic diseases rituximab,biological  rituximab,phase 2 phase 3
461,low dose radiotherapy diffuse large b cell lymphoma,radiation  low dose radiotherapi,phase 2
462,pilot project creation diffuse large b cell lymphoma  dlbcl  response prediction model,drug  18f fluorodeoxyglucose procedure  fdg pet ct imaging procedure  blood draw,applicable
463,beam vs  90 yttrium ibritumomab tiuxetan  zevalin®  beam asct relapsed dlbcl,radiation  90 yttrium ibritumomab tiuxetan drug  carmustine drug  etoposide drug  cytarabine drug  melphalan procedure  autologous hematopoietic stem cell transplant biological  rituximab,phase 3
464,adam17 inhibitor  rituximab auto hct dlbcl,drug  rituximab drug  incb7839,phase 1 phase 2
465,18f fdg pet ct based prognostic model predicting outcome patients diffuse large b cell lymphoma,device  18f fdg pet ct,applicable
466,study evaluating safety efficacy c car011 subjects b nhl,biological  c car011,phase 1
467,study recombinant human mouse chimeric anti cd20 monoclonal antibody treat non hodgkin lymphoma,drug  chop combined cmab304 drug  chop  cmab304,phase 3
468,rituximab gm csf treating patients newly diagnosed follicular b cell lymphoma,biological  rituximab biological  sargramostim  gm csf ,phase 2
469,rituximab  gemcitabine oxaliplatin  r gemox  refractory relapsed b cell lymphoma,drug  gemcitabine oxaliplatin plus rituximab  r gemox ,phase 2
470,cytoplasmic activated pd 1 car cells refractory relapsed b cell lymphoma,drug  car19 cells carrying cytoplasmic activated pd 1,phase 1
471,phase clinical trial assess safety syb l 0501 combination rituximab patients aggressive b cell non hodgkin lymphoma,drug  syb l 0501 drug  rituximab,phase 1
472,azd1152 diffuse large b cell lymphoma,drug  azd1152,phase 1 phase 2
473,interim fdg pet ct diffuse large b cell lymphoma  dlbcl  pati,early interim fdg pet ct 1 cycle r chop,applicable
474,high dose 90 ibritumomab tiuxetan added reduced intensity allogeneic stem cell transplant regimen relapsed refractory aggressive b cell lymphoma,procedure  allogeneic hematopoietic stem cell transplantation drug  cyclosporine drug  fludarabine phosphate radiation  indium 111 ibritumomab tiuxetan drug  mycophenolate mofetil pharmacological study biological  rituximab radiation  total body irradiation radiation  yttrium 90 ibritumomab tiuxetan,phase 2
475,dpx survivac checkpoint inhibitor dlbcl,biological  dpx survivac biological  pembrolizumab drug  cyclophosphamide 50mg,phase 2
476,phase ib ii combination acalabrutinib r chop patient diffuse large b cell lymphoma  dlbcl ,drug  acalabrutinib,phase 2
477,rituximab  bendamustine hydrochloride  lenalidomide treating patients aggressive b cell lymphoma,biological  rituximab drug  bendamustine hydrochloride drug  lenalidomid,phase 1 phase 2
478,brentuximab vedotin lenalidomide relapsed refractory diffuse large b cell lymphoma,drug  brentuximab vedotin drug  lenalidomid,phase 1
479,combination pembrolizumab tgr 1202 patients relapsed refractory cll b cell nhl,drug  tgr 1202 drug  pembrolizumab,phase 1
480,study bruton tyrosine kinase inhibitor  pci 32765  ibrutinib   combination rituximab  cyclophosphamide  doxorubicin  vincristine  prednisone patients newly diagnosed non germinal center b cell subtype diffuse large b cell lymphoma,drug  ibrutinib drug  placebo drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednisone  equivalent ,phase 3
481,evaluating 18f fdg pet ct liver suvmax based criteria prognosis patients diffuse large b cell lymphoma,device  18f fdg pet ct,applicable
482,rituximab combination chemotherapy treating older patients previously untreated b cell lymphoma,biological  pegfilgrastim biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  prednisone drug  vincristine sulfate pharmacological study radiation  radiation therapi,phase 2
483,study tazemetostat newly diagnosed diffuse large b cell lymphoma patients treated chemiotherapi,drug  tazemetostat drug  rituximab drug  cyclophosphamide drug  vincristine drug  doxorubicin drug  prednisolon,phase 1 phase 2
484,pembrolizumab asct hodgkin lymphoma  dlbcl nhl,drug  pembrolizumab,phase 2
485,cinobufacini tablets combined chemotherapeutic protocol treatment diffuse large b cell lymphoma,drug  vindesine drug  cyclophosphamide drug  epirubicin drug  prednisone tablets drug  cinobufacini tablets drug  rituximab,phase 2 phase 3
486,phase ii copanlisib relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  copanlisib  bay80 6946 ,phase 2
487,adjuvant low dose total body irradiation elderly patients diffuse large b cell lymphoma,radiation  low dose total body irradi,phase 2
488,chidamide combined clad gem bu autosct r r diffuse large b cell lymphoma,drug  chidamide drug  cladribine drug  gemcitabine drug  busulfan procedure  autologous hematopoietic stem cell transplant,phase 2
489,lenalidomide  rituximab  combination chemotherapy treating patients newly diagnosed stage ii  stage iii  stage iv diffuse large cell follicular b cell lymphoma,biological  pegfilgrastim biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  lenalidomide drug  prednisone drug  vincristine sulfate genetic  polymorphism analysis laboratory biomarker analysi,phase 1 phase 2
490,study trph 222 patients relapsed refractory b cell lymphoma,drug  trph 222,phase 1
491,efficacy safety study r chop vs bortezomib r cap young patients diffuse large b cell lymphoma poor ipi ,drug  bortezomib drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  prednisone drug  vincristin,phase 2
492,randomised evaluation molecular guided therapy diffuse large b cell lymphoma bortezomib,drug  intravenous drug  bortezomib,phase 3
493,nm il 12  rhuil‐12  relapsed refractory diffuse large b  cell lymphoma  dlbcl  undergoing salvage chemotherapi,biological  nm il 12,phase 2
494,r chop versus r cdop first line treatment elderly patients diffuse large b cell lymphoma,drug  pegylated liposomal doxorubicin drug  doxorubicin drug  rituximab drug  cyclophophamide drug  vincristine drug  prednison,phase 3
495,study chidamide single agent treatment patients relapse refractory b nhl,drug  chidamid,phase 2
496,study evaluating efficacy safety car recurrent refractory diffuse large b cell lymphoma,biological  cd19 targeted car cel,applicable
497,comparison hd chemotherapy followed auto transplant r chop high risk patients dlbcl ,drug  rituximab hds drug  rituximab chop,phase 3
498,tazemetostat treating patients metastatic unresectable solid tumors b cell lymphomas liver dysfunct,laboratory biomarker analysis pharmacological study drug  tazemetostat,phase 1
499,rituximab combination chemotherapy combined yttrium 90 ibritumomab tiuxetan treating older patients previously untreated b cell lymphoma,biological  darbepoetin alfa biological  filgrastim biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  prednisone drug  vincristine sulfate radiation  indium 111 ibritumomab tiuxetan radiation  yttrium 90 ibritumomab tiuxetan,phase 2
500,study comparing efficacy safety chop r chop untreated cd20 positive diffuse large b cell lymphoma pati,drug  ibi301 plus chop drug  rituximab plus chop,phase 3
501,30gy versus 40gy involved field radiotherapy localized diffuse large b cell lymphoma achieving cr chemotherapi,radiation  3d crt based involved field radiotherapi,phase 3
502,quilt 3 002  alt 803 patients relapse refractory inhl conjunction rituximab,biological  rituximab biological  alt 803,phase 1 phase 2
503,bucy vp 16 vs bucy conditioning regimen dlbcl undergoing auto hsct,drug  busulfan  bu  drug  cyclophosphamide  cy  drug  etoposide  vp 16 ,phase 2 phase 3
504,novel combinations cc 122  cc 223  cc 292  rituximab diffuse large b cell lymphoma follicular lymphoma,drug  cc 122 drug  cc 223 drug  rituximab drug  cc 292,phase 1
505,efficacy safety ibrutinib patients cll indolent b cell lymphomas chronic hepatitis b virus carriers occult hepatitis b virus carri,drug  ibrutinib,phase 3
506,study ro7082859 combination rituximab obinutuzumab plus chemotherapy participants non hodgkin lymphoma,drug  ro7082859 drug  obinutuzumab  g  drug  rituximab  r  drug  tocilizumab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednison,phase 1
507,s1001 pet directed therapy treating patients limited stage diffuse large b cell lymphoma,biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  prednisone drug  vincristine sulfate r chop regimen laboratory biomarker analysis radiation  fludeoxyglucose f 18 radiation  selective external radiation therapy radiation  yttrium 90 ibritumomab tiuxetan,phase 2
508,s9704 s0014 s0313a studying genes samples patients limited advanced diffuse large b cell lymphoma,genetic  rna analysis genetic  gene expression analysis immunohistochemistry staining method laboratory biomarker analysi,nan
509,study et190l1 artemis™ cells relapsed refractory cd19  non hodgkin lymphoma,biological  et190l1 artemis™ cel,phase 1
510,nab paclitaxel rituximab coated nanoparticle ar160 treating patients relapsed refractory b cell non hodgkin lymphoma,laboratory biomarker analysis drug  nab paclitaxel rituximab coated nanoparticle ar160 pharmacological studi,phase 1
511,trial prospective observational study newly diagnosed diffuse large b cell primary breast lymphoma,nan,nan
512,phase 1  open label trial oral azacitidine  cc 486  plus rchop subjects large b cell lymphoma follicular lymphoma transformed lymphoma,drug  oral azacitidine drug  rituximab drug  cyclophosphamide drug  vincristine drug  prednison,phase 1
513,oral azacitidine plus salvage chemotherapy relapsed refractory diffuse large b cell lymphoma,drug  oral azacitidine drug  r ic,phase 1
514,r bl 04 versus r  da  epoch autologous stem cells transplantation patients high grade b cell lymphoma double hit  hgbl dh  high grade b cell lymphoma otherwise specified  hgbl nos ,drug  r da epoch 21 drug  r bl 04 drug  r da epoch 21   auto sct drug  r bl 04   auto sct,phase 3
515,everolimus  rituximab  combination chemotherapy treating patients newly diagnosed untreated diffuse large b cell lymphoma,biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  everolimus drug  prednisone drug  vincristine sulf,phase 1
516,selumetinib treating patients relapsed refractory diffuse large b cell lymphoma,laboratory biomarker analysis drug  selumetinib,phase 2
517,liquid biopsy mature b cell tumor,diagnostic test  liquid biopsi,nan
518,phase 2 intratumoral injection pf 3512676 plus local radiation low grade b cell lymphoma,drug  pf 3512676 radiation  local radiotherapi,phase 2
519,comparison pixantrone   rituximab gemcitabine   rituximab patients aggressive b cell non hodgkin lymphoma follicular grade 3 lymphoma relapsed therapy eligible stem cell transpl,drug  pixantrone   rituximab drug  gemcitabine   rituximab,phase 3
520,study mabthera  rituximab  addition regularly prescribed chemotherapy patients untreated mantle cell lymphoma ,drug  cyclophosphamide drug  fludarabine drug  mitoxantrone drug  rituximab,phase 2
521,study subcutaneous versus intravenous mabthera rituxan  rituximab  combination chop chemotherapy patients previously untreated cd20 positive diffuse large b cell lymphoma,drug  chop drug  rituximab  mabthera rituxan ,phase 3
522,study blood tissue samples patients aggressive non hodgkin b cell lymphoma hodgkin lymphoma,genetic  polymerase chain reaction laboratory biomarker analysi,nan
523,study polatuzumab vedotin  dcds4501a  combination rituximab obinutuzumab plus bendamustine participants relapsed refractory follicular diffuse large b cell lymphoma,drug  bendamustine drug  obinutuzumab drug  polatuzumab vedotin  liquid  drug  rituximab drug  polatuzumab vedotin  lyophilized ,phase 1 phase 2
524,feasibility study gallium 68 citrate pet detect aberrant myc protein expression diffuse large b cell lymphoma,radiation  gallium citr,applicable
525,denintuzumab mafodotin  sgn cd19a  combined rchop rchp versus rchop alone diffuse large b cell lymphoma follicular lymphoma,drug  denintuzumab mafodotin drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednison,phase 2
526,bortezomib  doxorubicin hydrochloride liposome  rituximab treating patients diffuse large b cell lymphoma relapsed responded treat,biological  rituximab drug  bortezomib drug  pegylated liposomal doxorubicin hydrochloride genetic  gene expression analysis genetic  polymerase chain reaction genetic  polymorphism analysis genetic  proteomic profiling flow cytometry laboratory biomarker analysi,phase 2
527,biomarkers patients diffuse large b cell lymphoma treated combination chemotherapy without rituximab,genetic  gene expression analysis laboratory biomarker analysi,nan
528,radiation dose optimization diffuse large b  cell lymphoma ,radiation  standard arm radiation  experimental arm,phase 3
529,carfilzomib consolidation therapy autologous stem cell transplantation  asct  mantle cell lymphoma  mcl   cell lymphoma  tcl   diffuse large b cell lymphoma  dlbcl ,drug  carfilzomib drug  dexamethason,phase 1
530,escalating dose study subjects relapsed refractory b cell non hodgkin lymphoma  chronic lymphocytic leukemia  waldenstrom macroglobulinemia,drug  avl 292,phase 1
531,dose escalation study oral administration 55746 patients chronic lymphocytic leukaemia b cell non hodgkin lymphoma,drug  55746,phase 1
532,clofarabine relapsed refractory cell b cell non hodgkin lymphoma  nhl ,drug  clofarabin,phase 1 phase 2
533,study nivolumab patients relapsed refractory diffuse large b cell lymphoma  dlbcl  either failed eligible autologous stem cell transplant  checkmate 139 ,drug  nivolumab,phase 2
534,phase 2 study velcade™ subjects relapsed refractory follicular b cell lymphoma,drug  bortezomib,phase 2
535,ofatumumab versus rituximab salvage chemoimmunotherapy followed autologous stem cell transplant relapsed refractory diffuse large b cell lymphoma,drug  ofatumumab   dhap drug  rituximab   dhap,phase 3
536,aflibercept standard chemotherapy  r chop  first line non hodgkin b cell lymphoma,drug  aflibercept,phase 1
537,flavopiridol treat relapsed mantle cell lymphoma diffuse large b cell lymphoma,drug  flavopiridol,phase 1 phase 2
538,r acvbp versus r chop patients aged 60 65 diffuse large b cell lymphoma,drug  rituximab drug  doxorubicin drug  cyclophosphamide drug  vindesine drug  bleomycin drug  prednisone drug  vincristin,phase 3
539,study intensive consolidation stem cell mobilization therapy followed autologous stem cell transplantation high risk patients relapsed refractory diffuse large b cell lymphoma,drug  ofatumumab drug  etoposide drug  cytarabin,phase 2
540,acvbp versus acvbp plus rituximab low risk localized diffuse large b cell lymphoma,drug  rituximab,phase 3
541,gemcitabine hydrochloride  cyclophosphamide  vincristine sulfate  prednisolone  rituximab treating patients newly diagnosed diffuse large b cell lymphoma,biological  rituximab drug  cyclophosphamide drug  gemcitabine hydrochloride drug  prednisolone drug  vincristine sulf,phase 2
542,se methyl seleno l cysteine  rituximab  ifosfamide  carboplatin  etoposide treating patients diffuse large b cell lymphoma relapsed responded treat,biological  filgrastim biological  rituximab dietary supplement  se methyl seleno l cysteine drug  carboplatin drug  etoposide drug  ifosfamide laboratory biomarker analysis pharmacological studi,phase 1 phase 2
543,acvbp plus rituximab patients aged 18 59 years high risk diffuse large b cell lymphoma,drug  rituximab drug  doxorubicin drug  cyclophosphamide procedure  autologous stem cell transplant,phase 2
