"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
509,"NCT01563861","S9704-S0014-S0313A Studying Genes in Samples From Patients With Limited or Advanced Diffuse Large B-Cell Lymphoma",,"Completed","No Results Available","Lymphoma","Genetic: RNA analysis|Genetic: gene expression analysis|Other: immunohistochemistry staining method|Other: laboratory biomarker analysis","Proportion of GCB phenotype among limited-stage vs advanced-stage patients|Differences in PFS between limited- and advanced-stage patients with the GCB and non-GCB phenotypes|Association between GCB markers and OS","Southwest Oncology Group|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","","397","Other|NIH","Observational","Observational Model: Other|Time Perspective: Retrospective","CDR0000729157|S9704-S0014-S0313A|U10CA032102","February 2012","March 2012","March 2012","March 27, 2012","null","December 21, 2017","","","https://ClinicalTrials.gov/show/NCT01563861"
510,"NCT03379493","Study of ET190L1 ARTEMIS™ T Cells in Relapsed and Refractory CD19+ Non-Hodgkin's Lymphoma",,"Recruiting","No Results Available","Lymphomas Non-Hodgkin's B-Cell","Biological: ET190L1 ARTEMIS™ T cells","Maximum Tolerated Dose|Toxicity profile of ET190L1 ARTEMIS™ T-cell treatment|Overall response rate (ORR)|Overall response rate (ORR) in histologic subtypes of CD19+ Non-Hodgkin's lymphoma|Duration of overall response (DOR)|Progression free survival (PFS)|Overall survival (OS)","Eureka Therapeutics Inc.|Duke University|Duke Clinical Research Institute","All","18 Years and older   (Adult, Older Adult)","Phase 1","54","Industry|Other","Interventional","Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ETUS16CD19AR107","April 4, 2018","December 10, 2024","December 10, 2024","December 20, 2017","null","August 7, 2018","Duke University Medical Center, Durham, North Carolina, United States","","https://ClinicalTrials.gov/show/NCT03379493"
511,"NCT03003546","Nab-paclitaxel/Rituximab-coated Nanoparticle AR160 in Treating Patients With Relapsed or Refractory B-Cell Non-Hodgkin Lymphoma",,"Not yet recruiting","No Results Available","Aggressive Non-Hodgkin Lymphoma|CD20 Positive|Recurrent B-Cell Non-Hodgkin Lymphoma|Recurrent Small Lymphocytic Lymphoma|Refractory B-Cell Non-Hodgkin Lymphoma|Refractory Small Lymphocytic Lymphoma","Other: Laboratory Biomarker Analysis|Drug: Nab-paclitaxel/Rituximab-coated Nanoparticle AR160|Other: Pharmacological Study","MTD defined as the highest dose level patients develop a dose limiting toxicity assessed by National Cancer Institute Common Terminology Criteria for Adverse Events version 4.0|OS|PFS|Tumor response assessed using The Lugano Classification Response criteria","Mayo Clinic|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1","18","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","LS1681|NCI-2016-01984|P30CA015083","November 2018","June 2022","June 2022","December 28, 2016","null","April 18, 2018","Mayo Clinic, Rochester, Minnesota, United States","","https://ClinicalTrials.gov/show/NCT03003546"
512,"NCT01279772","This Trial is a Prospective Observational Study of Newly Diagnosed Diffuse Large B Cell Primary Breast Lymphomas","IELSG33","Terminated","No Results Available","Diffuse Large B-Cell Lymphoma of the Breast","","local and CNS relapse rate|progression free survival|overall survival|overall, complete and partial response rates following RCHOP","International Extranodal Lymphoma Study Group (IELSG)","All","18 Years and older   (Adult, Older Adult)","","1","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","IELSG33","October 2011","null","null","January 19, 2011","null","March 13, 2017","","","https://ClinicalTrials.gov/show/NCT01279772"
513,"NCT02343536","A Phase 1, Open-label Trial of Oral Azacitidine (CC-486) Plus RCHOP in Subjects With Large B-Cell Lymphoma or Follicular Lymphoma or Transformed Lymphoma",,"Active, not recruiting","No Results Available","Lymphoma, Large B-Cell, Diffuse|Lymphoma, Follicular","Drug: Oral Azacitidine|Drug: Rituximab|Drug: cyclophosphamide|Drug: Vincristine|Drug: Prednisone","Maximum Tolerated Dose (MTD)|Maximal Administered Dose (MAD)|Adverse Event (AE)|Pharmacokinetics- Cmax|Pharmacokinetics - AUC|Pharmacokinetics - Tmax|Pharmacokinetics - t1/2|Pharmacokinetics CL/F|Pharmacokinetics - Vz/F|Overall response rate (ORR)|Complete response (CR) rate|Progression free survival (PFS)","Celgene","All","18 Years and older   (Adult, Older Adult)","Phase 1","54","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CC-486-DLBCL-001","April 29, 2015","April 30, 2018","March 1, 2020","January 22, 2015","null","December 2, 2017","Moffitt Cancer Center, Tampa, Florida, United States|University of Chicago, Chicago, Illinois, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Weill Cornell Medicine, New York, New York, United States|Rhode Island Hospital, Providence, Rhode Island, United States","","https://ClinicalTrials.gov/show/NCT02343536"
514,"NCT03450343","Oral Azacitidine Plus Salvage Chemotherapy in Relapsed/Refractory Diffuse Large B Cell Lymphoma",,"Not yet recruiting","No Results Available","Large B-Cell Diffuse Lymphoma","Drug: Oral azacitidine|Drug: R-ICE","Presence or absence of a dose limiting toxicity in the combination of oral azacitadine and R-ICE|Response rate|progression free survival|Adequate peripheral stem cell collection","Medical University of South Carolina|Celgene Corporation","All","18 Years and older   (Adult, Older Adult)","Phase 1","24","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","102732|OA-CL-DLBCL-PI-13065","November 2018","March 2020","March 2021","March 1, 2018","null","July 16, 2018","","","https://ClinicalTrials.gov/show/NCT03450343"
515,"NCT03479918","R-BL-M-04 Versus R-(DA)-EPOCH and Autologous Stem Cells Transplantation in Patients With High-Grade B-cell Lymphoma Double-hit (HGBL DH) and High-Grade B-cell Lymphoma Not Otherwise Specified (HGBL NOS)",,"Recruiting","No Results Available","Lymphoma, High-Grade","Drug: R-DA-EPOCH-21|Drug: R-BL-M-04|Drug: R-DA-EPOCH-21 + auto-SCT|Drug: R-BL-M-04 + auto-SCT","Overall survival|Relapse-free survival|Progression|Complete remission|Partial remission","Elena N.Parovichnikova|National Research Center for Hematology, Russia","All","18 Years to 60 Years   (Adult)","Phase 3","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HGBL DH and HGBL NOS","March 15, 2018","March 15, 2021","March 15, 2024","March 27, 2018","null","March 27, 2018","National Research Center for Hematology, Moscow, Russian Federation","","https://ClinicalTrials.gov/show/NCT03479918"
516,"NCT01334502","Everolimus, Rituximab, and Combination Chemotherapy in Treating Patients With Newly Diagnosed Untreated Diffuse Large B-Cell Lymphoma",,"Completed","No Results Available","Lymphoma","Biological: rituximab|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: everolimus|Drug: prednisone|Drug: vincristine sulfate","MTD of everolimus in combination with R-CHOP|Adverse events profile|Toxicity profile|Proportion of patients who have a significant toxicity|Rate of EFS|Overall response rate, CR rate, overall survival, PFS, and duration of response","Alliance for Clinical Trials in Oncology|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1","26","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NCCTG-N1085|CDR0000698584|NCI-2011-02643","March 2012","February 2015","August 2017","April 13, 2011","null","August 10, 2017","Mayo Clinic Cancer Center, Rochester, Minnesota, United States","","https://ClinicalTrials.gov/show/NCT01334502"
517,"NCT01278615","Selumetinib in Treating Patients With Relapsed or Refractory Diffuse Large B-cell Lymphoma",,"Terminated","Has Results","Recurrent Adult Diffuse Large Cell Lymphoma","Other: Laboratory Biomarker Analysis|Drug: Selumetinib","Response Rate (Complete Response [CR] and Partial Response [PR]) in Patients Treated With Selumetinib|Disease Control Rate (Complete Response [CR], Partial Response [PR], and Stable Disease [SD]) in Patients Treated With Selumetinib|Duration of Response|Incidence of Adverse Events Graded Using the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) Version 4.0|Overall Survival|Progression-free Survival|Time to Treatment Failure","National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 2","16","NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NCI-2011-02558|NU-10H03|CDR0000690641|12-0110|8611|N01CM00071|N01CM62201|P30CA014599","December 2010","February 2014","May 2014","January 19, 2011","February 3, 2016","February 3, 2016","Northwestern University, Chicago, Illinois, United States|University of Chicago Comprehensive Cancer Center, Chicago, Illinois, United States|Decatur Memorial Hospital, Decatur, Illinois, United States|NorthShore University HealthSystem-Evanston Hospital, Evanston, Illinois, United States|Ingalls Memorial Hospital, Harvey, Illinois, United States|Illinois CancerCare-Peoria, Peoria, Illinois, United States|Southern Illinois University, Springfield, Illinois, United States|Fort Wayne Medical Oncology and Hematology Inc-Parkview, Fort Wayne, Indiana, United States|Indiana University/Melvin and Bren Simon Cancer Center, Indianapolis, Indiana, United States|University of Maryland/Greenebaum Cancer Center, Baltimore, Maryland, United States|Tufts Medical Center, Boston, Massachusetts, United States|University of Massachusetts Memorial Health Care, Worcester, Massachusetts, United States|University of Michigan, Ann Arbor, Michigan, United States|Saint John's Mercy Medical Center, Saint Louis, Missouri, United States|Weill Medical College of Cornell University, New York, New York, United States|M D Anderson Cancer Center, Houston, Texas, United States","","https://ClinicalTrials.gov/show/NCT01278615"
518,"NCT03280394","Liquid Biopsy in Mature B-cell Tumors",,"Recruiting","No Results Available","Mature B-Cell Neoplasm","Diagnostic Test: Liquid Biopsy","Accuracy of interim plasma cell free DNA genotyping for cHL patients|Accuracy of interim plasma cell free DNA genotyping for DLBCL patients|Accuracy of interim plasma cell free DNA genotyping for FL patients|Accuracy of interim plasma cell free DNA genotyping for MCL patients","Oncology Institute of Southern Switzerland","All","18 Years and older   (Adult, Older Adult)","","444","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","IOSI-EMA003","September 1, 2017","December 31, 2027","December 31, 2027","September 12, 2017","null","September 12, 2017","Institute of Oncology Research, Bellinzona, Tessin, Switzerland","","https://ClinicalTrials.gov/show/NCT03280394"
519,"NCT00880581","A Phase 2 Intratumoral Injection PF-3512676 Plus Local Radiation in Low-Grade B-Cell Lymphomas",,"Completed","Has Results","Lymphoma, Non-Hodgkin|Lymphoma|Lymphomas: Non-Hodgkin Follicular / Indolent B-Cell|Lymphomas: Non-Hodgkin","Drug: PF-3512676|Radiation: Local radiotherapy","Overall ObjectiveResponse (ORR) Rate|Response Rate After Cycle 2","Ronald Levy|Pfizer|Stanford University","All","18 Years and older   (Adult, Older Adult)","Phase 2","30","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB-14820|SU-03272009-2038|LYMNHL0064","January 2009","September 2011","January 2015","April 14, 2009","March 14, 2017","March 14, 2017","Stanford University School of Medicine, Stanford, California, United States","","https://ClinicalTrials.gov/show/NCT00880581"
520,"NCT01321541","Comparison of Pixantrone + Rituximab With Gemcitabine + Rituximab in Patients With Aggressive B-cell Non-Hodgkin Lymphoma or Follicular Grade 3 Lymphoma Who Have Relapsed After Therapy and Are Not Eligible for Stem Cell Transplant","PIX-R","Active, not recruiting","No Results Available","Diffuse Large B-cell Lymphoma|de Novo DLBCL|DLBCL Transformed From Indolent Lymphoma|Follicular Grade 3 Lymphoma","Drug: Pixantrone + Rituximab|Drug: Gemcitabine + Rituximab","Progression Free Survival (PFS)|Overall survival|Complete Response Rate|Overall Response Rate|Safety Evaluation","CTI BioPharma","All","18 Years and older   (Adult, Older Adult)","Phase 3","260","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","PIX306 (PIX-R Trial)","April 2011","August 2017","December 2017","March 23, 2011","null","August 3, 2017","Arizona Clinical Research Center, Tucson, Arizona, United States|Arizona Oncology Associates, Tucson, Arizona, United States|Highlands Oncology Group, Bentonville, Arkansas, United States|Highlands Oncology Group, Fayetteville, Arkansas, United States|Rocky Mountain Cancer Centers, Aurora, Colorado, United States|Rocky Mountain Cancer Centers, Boulder, Colorado, United States|Rocky Mountain Cancer Centers, Denver, Colorado, United States|George Washington University Department of Medicine, Washington, D.C., District of Columbia, United States|Integrated Community Oncology Network-St. Vincent's, Jacksonville, Florida, United States|Integrated Community Oncology Network-Southside, Jacksonville, Florida, United States|Integrated Community Oncology Network, Orange Park, Florida, United States|Carle Physician Group, Danville, Illinois, United States|Cancer Care Specialists of Central Illinois, Decatur, Illinois, United States|Crossroads Cancer Center, Effingham, Illinois, United States|Carle Foundation Physician Services, Mattoon, Illinois, United States|Carle Cancer Center, Urbana, Illinois, United States|Cancer Center of Kansas, Wichita, Kansas, United States|Cancer Center of Kansas, Wichita, Kansas, United States|Baptist Hospital East, Louisville, Kentucky, United States|Harry and Jeanette Weinberg Cancer Institute at Franklin Square, Baltimore, Maryland, United States|Center for Cancer and Blood Disorders, PC, Bethesda, Maryland, United States|Cancer & Hematology Center of Western Michigan, Grand Rapids, Michigan, United States|Metro Minnesota CCOP-Unity Hospital, Fridley, Minnesota, United States|Metro Minnesota CCOP-St. Johns, Maplewood, Minnesota, United States|Metro Minnesota Community Clinical Oncology Program, Saint Louis Park, Minnesota, United States|Metro Minnesota Community Clinical Oncology Program, Saint Louis Park, Minnesota, United States|Metro Minnesota CCOP-Regions Hospital, Saint Paul, Minnesota, United States|Missouri Cancer Associates, Columbia, Missouri, United States|Nebraska Hematology-Oncology, PC, Lincoln, Nebraska, United States|Hematology-Oncology Associates of Northern New Jersey, Morristown, New Jersey, United States|North Shore Hematology/Oncology Associates, East Setauket, New York, United States|Gabrail Cancer Center, Canton, Ohio, United States|Gabrail Cancer Center, Dover, Ohio, United States|Toledo Clinical Cancer Center, Toledo, Ohio, United States|Mercy Cancer Center at St. Anne's, Toledo, Ohio, United States|Toledo Clinic Cancer Center-Toledo, Toledo, Ohio, United States|Northwest Cancer Specialists, PC, Portland, Oregon, United States|Northwest Cancer Specialists, PC, Portland, Oregon, United States|Northwest Cancer Specialists, PC, Tualatin, Oregon, United States|Fox Chase Cancer Center, Philadelphia, Pennsylvania, United States|Upstate Oncology Associates, Greenville, South Carolina, United States|South Carolina Cancer Specialists, Hardeeville, South Carolina, United States|South Carolina Cancer Specialists, Hilton Head Island, South Carolina, United States|Joe Arrington Cancer Research and Treatment Center, Lubbock, Texas, United States|Cancer Care Centers of South Texas-HOAST, New Braunfels, Texas, United States|Cancer Care Centers of South Texas-HOAST, San Antonio, Texas, United States|Blue Ridge Cancer Care, Roanoke, Virginia, United States|Northwest Cancer Specialists, PC, Vancouver, Washington, United States|Northwest Cancer Specialists, PC, Vancouver, Washington, United States|Saint Vincent Hospital Green Bay Oncology, Green Bay, Wisconsin, United States|Green Bay Oncology-St. Mary's Hospital MC, Green Bay, Wisconsin, United States|Medical University Innsbruck, Department of Internal Medicine V (Hematology and Oncology), Innsbruck, Austria|Hospital Elisabethinen Linz, Internal Department 1 - Hemato-Oncology, Linz, Austria|Hanusch Hospital, Department of Internal Medicine III, Vienna, Austria|Saint Luc University Hospital, Department of Hematology, Brussels, Belgium|General Hospital Delta, Hematology Department, Roeselare, Belgium|General Hospital Turnhout, Hematology Department, Turnhout, Belgium|UMHAT ""Sveti Georgi"", Plovdiv, Clinical Hematology Clinic, Plovdiv, Bulgaria|UMHAT ""Sveti Georgi"", Plovdiv, Department of Medical Oncology, Plovdiv, Bulgaria|MHAT ""Tokuda Hospital Sofia"", Hematology Clinic, Sofia, Bulgaria|University Multiprofile Hospital for Active Treatment ""Sveti Ivan Rilski"", Department of Clinical Hematology, Sofia, Bulgaria|Specialized Hospital For Active Treatment Of Hematological Diseases, Sofia, Clinical Hematology Clinic, Sofia, Bulgaria|MHAT Hristo Botev, Vratsa, First Department of Internal Medicine, Vratsa, Bulgaria|University Hospital Brno, Clinic of Internal Medicine - Hematology and Oncology, Brno, Czechia|University Hospital Hradec Kralove, 4th Department of Internal Medicne, Clinical Hematology, Hradec Kralove, Czechia|University Hospital Ostrava, Institute of Clinical Hematology, Ostrava, Czechia|University Hospital Kralovske Vinohrady, Department of Clinical Hematology, Prague, Czechia|General University Hospital in Prague, 1st Department of Internal Medicine - Department of Hematology, Prague, Czechia|Aalborg University Hospital, Department of Hematology, Aalborg, Denmark|Service d'hématologie clinique, Avenue Laennec Salouel, Amiens, Cedex 1, France|Centre hopitalier de la cote basque, Bayonne, France|Centre hospitalier de Beziers, Beziers, France|Polyclinique de Bordeaux nord Acquitaine, Bordeaux, France|Centre hospitalier du Mans, Le Mans Cedex 03, France|Centre hospitalier Lyon Sud, Pierre Benite Cedex, France|Saint Quentin Hospital Center, Department of Oncology-Hematology, Saint-Quentin, France|Hautepierre Hospital, Department of Hematology and Oncology, Strasbourg Cedex, France|Gemeinschaftspraxis Drs. Klausmann, Aschaffenburg, Germany|Klinikum Chemnitz gGmbH, Chemnitz, Germany|Klinik für Innere Medizin III, Frankfurt (a.M.), Germany|Universitaetsklinikum Halle, Halle (Saale), Germany|St. Marien Hospital Hamm, Hamm, Germany|Universitätsklinik Köln, Köln, Germany|Klinikum Nürnberg Nord, Nürnberg, Germany|Klinikum Mutterhaus der Borromäerinnen, Trier, Germany|St. Istvan and St. Laszlo Hospital of Budapest, Budapest, Hungary|University of Debrecen, Debrecen, Hungary|Moritz Kaposi General Hospital, Kaposvár, Hungary|University Hospital ""Ospedali Riuniti Umberto I - G.M. Lancisi - G. Salesi"", Ancona, Italy|Bologna University Hospital Authority St. Orsola-Malpighi Polyclinic, Bologna, Italy|Scientific Institute of Romagna for the Study and Treatment of Cancer (I.R.S.T.) S.R.L., Meldola, Italy|""Ospedali Riuniti Villa Sofia-Cervello"" Hospital, Palermo, Italy|Romagna Local Health Authority (AUSL Romagna) - ""Santa Maria delle Croci"", Ravenna, Italy|Romagna Local Health Authority (AUSL Romagna) - ""Infermi"" Hospital, Rimini, Italy|Siena University Hospital Authority Santa Maria alle Scotte Polyclinic, Siena, Italy|Santa Maria Hospital, Terni, Italy|A.O.U. Città della Salute e della Scienza di Torino, Torino, Italy|Independent Public Healthcare Facility Municipal Hospital Group, Chorzów, Poland|Marine Hospital of Polish Red Cross, Department of Chemotheraphy, Gdynia, Poland|Silesia Medical University, Department of Hematology and Bone Marrow Transplantation, Katowice, Poland|Malopolskie Medical Center S.C. , Department of Hematology, Krakow, Poland|Nicolaus Copernicus Memorial Provincial Specialist Hospital in Lodz, Lodz, Poland|Oncology Center of Lublin Land, Department of Clinical Oncology, Lublin, Poland|Institute of Hematology and Transfusion Medicine, Clinic of Hematology, Warsaw, Poland|Wroclaw Medical University, Department and Clinic of Hematology, Blood Neoplasms and Bone Marrow Transplantation, Wroclaw, Poland|Rapid Diagnosis Polyclinic SA, Brasov, Romania|Fundeni Clinical Institute Center for Hematology and Bone Marrow Transplantation, Bucharest, Romania|Bucharest University Emergency Hospital, Hematology Clinic, Bucharest, Romania|State Budget Healthcare Institution of Sverdlovsk region: Sverdlovsk Regional Clinical Hospital #1, Ekaterinburg, Russian Federation|Federal State Public Institution: Main Military Clinical Hospital n.a. N.N. Burdenko of the Russian Ministry of Defense, Moscow, Russian Federation|Moscow State Budget Medical Institution: City Clinical Hospital n.a. S.P.Botkin, Moscow, Russian Federation|State Medical Institution: Republican Hospital named after V.A. Baranov, Petrozavodsk, Russian Federation|St. Petersburg Clinical Research and Practical Center for Specialized Types of Medical Care, St. Petersburg, Russian Federation|State Healthcare Institution: Republican Clinical Oncology Center, Ufa, Russian Federation|University Hospital with Outpatient Clinic F.D. Roosevelt Banska Bystrica, Department of Hematology, Banska Bystrica, Slovakia|National Cancer Institute, Department of Hematology and Transfusiology, Bratislava, Slovakia|University Hospital Martin, Department of Hematology and Transfusiology, Martin, Slovakia|J. A. Reiman University Hospital with Polyclinic in Presov, Presov, Slovakia|A Coruña University Hospital, A Coruña, Spain|Hospital Universitario Vall Hebrón, Barcelona, Spain|Hospital Iniversitario Puerta del Mar, Cadiz, Spain|Institut Català de Oncologia (ICO), Hospital Dr Trueta, Girona, Spain|Hospital Iniversitario La Paz, Madrid, Spain|Hospital Universitario Araba, Vitoria, Spain|Cherkasy Regional Oncology Center, Regional Treatment and Diagnostic Hematology Center, Cherkasy, Ukraine|Kharkiv Regional Clinical Oncology Center, Kharkiv, Ukraine|National Institute of Cancer, Kyiv, Ukraine|State Institution: Institute of Blood Pathology and Transfusion Medicine, Lviv, Ukraine|Beatson West of Scotland Cancer Center, Glasgow, United Kingdom|St. George's Healthcare NHS Trust, London, United Kingdom|Christie Hospital, Department of Medical Oncology, Manchester, United Kingdom","","https://ClinicalTrials.gov/show/NCT01321541"
521,"NCT01144403","A Study of MabThera (Rituximab) Addition to Regularly Prescribed Chemotherapy in Patients With Untreated Mantle Cell Lymphoma.",,"Terminated","Has Results","Diffuse Large B-Cell Lymphoma","Drug: Cyclophosphamide|Drug: Fludarabine|Drug: Mitoxantrone|Drug: Rituximab","Overall Response Rate (ORR)|Overall Survival (OS)|Progression-free Survival (PFS)|Number of Participant With Adverse Event (AE)","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)","Phase 2","8","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ML22489|2009-011433-27","June 2010","August 2014","August 2014","June 15, 2010","August 29, 2016","October 18, 2016","Brasov, Romania|Bucharest, Romania|Bucharest, Romania|Bucuresti, Romania|Cluj-Napoca, Romania|Iasi, Romania|Targu-mures, Romania|Timisoara, Romania","","https://ClinicalTrials.gov/show/NCT01144403"
